ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Mono-116_we-1,4144,Mono,116_we,tɑ,tɑ,,,Miller1984,116_we-2,false,,,
Mono-117_what-1,4179,Mono,117_what,hɑ,hɑ,,,Miller1984,117_what-7,false,,,
Mono-118_who-1,4214,Mono,118_who,haghe,haghe,,,Miller1984,118_who-1,false,,,"Nominative is haghe (gh for gamma), stress on /a/"
Mono-119_this-1,4249,Mono,119_this,ihu,ihu,,,Miller1984,119_this-1,false,,,
Mono-120_that-1,4284,Mono,120_that,u,u,,,Miller1984,120_that-2,false,,,
Mono-121_all-1,4319,Mono,121_all,nasimi-,nasimi-,,,Miller1984,121_all-4,false,,,
Mono-122_swim-1,4354,Mono,122_swim,pɑhɑpi-,pɑhɑpi-,,,Miller1984,122_swim-1,false,,,
Tubatulabel-1_nonot-1,10,Tubatulabel,1_nonot,haš,haš,,,Miller1984,1_nonot-1,false,,,
Tubatulabel-2_many-1,42,Tubatulabel,2_many,yoowi,yoowi,,,Miller1984,2_many-4,false,,,"has ""1"" in it?"
Tubatulabel-3_one-1,74,Tubatulabel,3_one,čiič,čiič,,,Miller1984,3_one-3,false,,,
Tubatulabel-4_two-1,106,Tubatulabel,4_two,woo,woo,,,Miller1984,4_two-1,false,,,
Tubatulabel-5_big-1,138,Tubatulabel,5_big,egeewan,egeewan,,,Miller1984,5_big-7,false,,,
Tubatulabel-6_old-1,170,Tubatulabel,6_old,uulaw-ɨt,uulaw-ɨt,,,Miller1984,6_old-10,false,,,
Tubatulabel-6_old-2,5025,Tubatulabel,6_old,uuʔuulawica,uuʔuulawica,,,Miller1984,6_old-10,false,,,(=to grow old)
Tubatulabel-7_small-1,202,Tubatulabel,7_small,kuʔuzubi-l,kuʔuzubi-l,,,Hale1964,7_small-8,false,,,
Tubatulabel-8_short-1,234,Tubatulabel,8_short,tabuuʔupi-l,tabuuʔupi-l,,,Miller1984,8_short-4,false,,,
Tubatulabel-9_long-1,266,Tubatulabel,9_long,utudu,utudu,,,Miller1984,9_long-10,false,,,"(=tall in Vogelin, =long in Hale), Might be Western Numic loan"
Tubatulabel-10_new-1,298,Tubatulabel,10_new,mapita,mapita,,,Miller1984,10_new-7,false,,,"JHH: Kit, Sr forms are from mai ""to bear child"".  This isn't."
Tubatulabel-11_good-1,330,Tubatulabel,11_good,tɨwɨ,tɨwɨ,,,Miller1984,11_good-8,false,,,
Tubatulabel-12_round-1,362,Tubatulabel,12_round,muluŋwa-l,muluŋwa-l,,,Miller1984,12_round-8,false,,,"=round one, JHH: Same as Kawaiisu"
Tubatulabel-12_round-2,5053,Tubatulabel,12_round,muluʔuŋa-,muluʔuŋa-,,,Miller1984,12_round-8,false,,,"=get round), JHH: Same as Kawaiisu"
Tubatulabel-13_heavy-1,394,Tubatulabel,13_heavy,pɨlɨʔ,pɨlɨʔ,,,Miller1984,13_heavy-2,false,,,
Tubatulabel-13_heavy-2,5062,Tubatulabel,13_heavy,-ipɨlɨʔ,-ipɨlɨʔ,,,Miller1984,13_heavy-2,false,,,
Tubatulabel-14_dry-1,426,Tubatulabel,14_dry,waag-ɨt,waag-ɨt,,,Miller1984,14_dry-2,false,,,
Tubatulabel-14_dry-2,5063,Tubatulabel,14_dry,awak,awak,,,Miller1984,14_dry-2,false,,,=to be dry
Tubatulabel-16_dirty-1,490,Tubatulabel,16_dirty,tuguubiš-ɨt,tuguubiš-ɨt,,,Miller1984,16_dirty-1,false,,,
Tubatulabel-16_dirty-2,5070,Tubatulabel,16_dirty,utuguubiš,utuguubiš,,,Miller1984,16_dirty-1,false,,,
Tubatulabel-17_full-1,522,Tubatulabel,17_full,ɨmbɨm,ɨmbɨm,,,Miller1984,17_full-10,false,,,
Tubatulabel-17_full-2,5076,Tubatulabel,17_full,pɨim-it,pɨim-it,,,Miller1984,,false,,,
Tubatulabel-18_cold-1,554,Tubatulabel,18_cold,šɨɨb-t,šɨɨb-t,,,Miller1984,18_cold-2,false,,,
Tubatulabel-18_cold-2,5080,Tubatulabel,18_cold,ɨšɨip,ɨšɨip,,,Miller1984,18_cold-2,false,,,
Tubatulabel-19_hot-1,586,Tubatulabel,19_hot,ɨɨdɨɨʔ-ɨt,ɨɨdɨɨʔ-ɨt,,,Miller1984,19_hot-1,false,,,
Tubatulabel-19_hot-2,5082,Tubatulabel,19_hot,ɨʔɨdɨɨʔ,ɨʔɨdɨɨʔ,,,Miller1984,19_hot-1,false,,,
Tubatulabel-20_woman-1,618,Tubatulabel,20_woman,koimi,koimi,,,Hale1964,20_woman-10,false,,,
Tubatulabel-21_man-1,650,Tubatulabel,21_man,taatwa-l,taatwa-l,,,Miller1984,21_man-2,false,,,
