Grapheme	IPA
^é$	é/e
^éé$	éé/eː
^éw	éw/eu
^aa	aː
^aá	áː
^aa$	aː
^aayaa	aa/aː y/j aa/aː
^aú	aú/au
^ae	ae
^aɨ$	aɨ
^ai	ai
^a̧a̧yæ̧æ̧$	a̧a̧/ãː y/j æ̧æ̧/æ̃ː
^au	au
^ay	a y/j
^aye	a y/j e
^ayo	a y/j o
^ayu	a y/j u
^ayu$	a y/j u
^ayuy	a y/j uy/ui
^æ̧æ̧$	æ̧æ̧/æ̃ː
^ú	ú/u
^úa	ú/u a
^b	b
^B	β
^bh	bʱ
^bw	b w
^c	ts
^ǫ́ǫ́	ǫ́ǫ́/õː
^ǫ́ǫ́$	ǫ́ǫ́/õː
^ǽ	æ
^ch	ch/tʃ
^c̉	c̉/ts
^c̣	c̣/ʈʂ
^d	d
^dʸ	dʲ
^dh	dʱ
^dy	d y/j
^e	e
^ʃʔ	ʃˀ
^ɑ	ɑ
^ɑ̄	ɑ̄/aː
^ɑ̄̌	ɑː
^ɑ̄tɯ́-	ɑː t ɯ́/ɯ
^ɑ̱̓	ɑ
^ɑ̱̓h	ɑ h
^ʔ	ʔ
^ʔŋ	ˀŋ
^ʔč	ˀtʃ
^ʔc	ˀtʃ
^ʔj	ˀdʒ
^ʔk	ˀk
^ʔl	ˀl
^ʔm	ˀm
^ʔn	ˀn
^ʔp	ʔp
^ʔq	ˀq
^ʔr	ˀr
^ʔtʃ	ˀtʃ
^ʔw	ˀw
^ʔy	ʔy/ˀj
^ʔṣ	ˀʂ
^ə	ə
^ȼ	ȼ/tʃ
^ɲʔ	ɲˀ
^ȩȩ	ẽː
^ee	eː
^eei$	eːi
^eeyi$	ee/eː y/j i
^ei	ei
^e̱	e̠
^eyo	e y/j o
^ɨ	ɨ
^ɨa	ɨ a
^ɨɨ	ɨː
^ɨi	ɨi
^ɯ	ɯ
^ɯ$	ɯ
^ɯ́	ɯ́/ɯ
^ɯ̄$	ɯ̄/ɯ
^g	g
^gʔ	gˀ
^gw	g w
^h	h
^hh	h
^hw	h w
^i	i
^i$	i
^β	β
^iɑ	i ɑ
^ii	iː
^i̱	i̠
^iu	i u
^iya	i y/j a
^iyá	i y/j á/a
^iye	i y/j e
^iyoo	i y/j oo/oː
^iyu	i y/j u
^j	j/dʒ
^J	J/j
^jʔ	dʒˀ
^k	k
^k'	kˀ
^kʔ	kˀ
^kʰ	kʰ
^kh	kʰ
^k̉	kʲ
^k̉ú·	kʲ ú/u
^k̉úwí	k̉/kʲ ú/u w í/i
^kw	kʷ
^l	l
^lʔ	lˀ
^lh	lh/l̥
^m	m
^mʔ	mˀ
^m̉	m̉/m
^ms	m s
^mw	m w
^n	n
^n̉	n̉/n
^o	o
^o$	o
^oa	o a
^oá	o á/a
^oa"-	o a
^oa$	o a
^oeyay$	oe y/j ay/ai
^oi	oi
^oi$	oi
^oo	oː
^ooe$	oː e
^oyu	o y/j u
^p	p
^p'	pˀ
^pʰ	pʰ
^pʰÍÍ-	pʰ ÍÍ/ɪː
^ph	pʰ
^pw	p w
^q	q
^qʔ	qˀ
^qw	q w
^r	r
^s	s
^sh	sh/ʃ
^s̉	s̉/s
^t	t
^t'	tˀ
^tʔ	tˀ
^tˡ	tˡ
^tˢ	tˢ/ts
^tˢʔ	tˢ/tsˀ
^tʰ	tʰ
^th	tʰ
^t̉	t̉/tʲ
^t̓	t̓/tʲ
^ts	ts
^ts'	tsˀ
^tt	tː
^ty7	tʲˀ
^u	u
^u$	u
^ua	u a
^ua$	u a
^uú	uú/uː
