ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
5187	utoaztecan-SouthernUte-121_all-1	utoaztecan-SouthernUte	ALL	all	pɑʔɑmɑnuni	pɑʔɑmɑnuni	p ɑ ʔ ɑ m ɑ n u n i	utoaztecan-121_all-3	1723	1 7 1 7 4 7 4 7 4 7	AXBYBYBYBZ	PAHAMANYNI	33	33.P.C 33.A.V 33.H.C 33.A.V 33.M.C 33.A.V 33.N.C 33.Y.V 33.N.C 33.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pɑʔɑmɑnuni	0	31
5188	utoaztecan-SouthernUte-121_all-2	utoaztecan-SouthernUte	ALL	all	pɑʔɑmɑnuktis	pɑʔɑmɑnuktis	p ɑ ʔ ɑ m ɑ n u k t i s	utoaztecan-121_all-3	1723	1 7 1 7 4 7 4 7 1 1 7 3	AXBYBYBYMBYN	PAHAMANYKTIS	33	33.P.C 33.A.V 33.H.C 33.A.V 33.M.C 33.A.V 33.N.C 33.Y.V 33.K.c 33.T.C 33.I.V 33.S.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.1 1.75 1.3 0.8	pɑʔɑmɑnuktis	0	31
5189	utoaztecan-SouthernUte-121_all-3	utoaztecan-SouthernUte	ALL	all	mɑnuni	mɑnuni	m ɑ n u n i	utoaztecan-121_all-3	1723	4 7 4 7 4 7	AXBYBZ	MANYNI	33	33.M.C 33.A.V 33.N.C 33.Y.V 33.N.C 33.I.V	2.0 1.5 1.75 1.3 1.75 0.8	mɑnuni	0	31
54	utoaztecan-Mono-54_arm-1	utoaztecan-Mono	ARM	arm	pɨtta	pɨtta	p ɨ tː a	utoaztecan-54_arm-1	54	1 7 1 7	AXBZ	PITA	20	20.P.C 20.I.V 20.T.C 20.A.V	2.0 1.5 1.75 0.8	pɨtːa	0	52
189	utoaztecan-Tubatulabel-54_arm-1	utoaztecan-Tubatulabel	ARM	arm	matson	matson	m a ts o n	utoaztecan-54_arm-2	159	4 7 2 7 4	AXBYN	MACUN	36	36.M.C 36.A.V 36.C.C 36.U.V 36.N.c	2.0 1.5 1.75 1.3 0.8	matson	0	81
190	utoaztecan-Tubatulabel-54_arm-2	utoaztecan-Tubatulabel	ARM	arm	madzan	madzan	m a d z a n	utoaztecan-54_arm-2	159	4 7 1 3 7 4	AXBCYN	MATSAN	36	36.M.C 36.A.V 36.T.C 36.S.C 36.A.V 36.N.c	2.0 1.5 1.75 1.5 1.3 0.8	madzan	0	87
345	utoaztecan-Serrano-54_arm-1	utoaztecan-Serrano	ARM	arm	-maa	-maa	m aː	utoaztecan-54_arm-2	159	4 7	AX	MA	29	29.M.C 29.A.V	2.0 1.5	maː	1	47
475	utoaztecan-Cahuilla-54_arm-1	utoaztecan-Cahuilla	ARM	arm	-ma-l	-ma-l	m a + l	utoaztecan-54_arm-2	159	4 7 9 5	AX_A	MA_L	3	3.M.C 3.A.V 3._._ 3.L.C	2.0 1.5 0.0 2.0	ma+l	1	49
727	utoaztecan-Luiseno-54_arm-1	utoaztecan-Luiseno	ARM	arm	má-t	má-t	m a + t	utoaztecan-54_arm-2	159	4 7 9 1	AX_A	MA_T	18	18.M.C 18.A.V 18._._ 18.T.C	2.0 1.5 0.0 2.0	ma+t	1	49
859	utoaztecan-Gabrielino-54_arm-1	utoaztecan-Gabrielino	ARM	arm	-man	-man	m a n	utoaztecan-54_arm-2	159	4 7 4	AXN	MAN	11	11.M.C 11.A.V 11.N.c	2.0 1.5 0.8	man	1	47
985	utoaztecan-Hopi-54_arm-1	utoaztecan-Hopi	ARM	arm	máʔa	máʔa	m a ʔ a	utoaztecan-54_arm-2	159	4 7 1 7	AXBZ	MAHA	13	13.M.C 13.A.V 13.H.C 13.A.V	2.0 1.5 1.75 0.8	maʔa	1	58
1114	utoaztecan-Papago-54_arm-1	utoaztecan-Papago	ARM	arm	nowi	nowi	n o w i	utoaztecan-54_arm-6	572	4 7 6 7	AXBZ	NUWI	25	25.N.C 25.U.V 25.W.C 25.I.V	2.0 1.5 1.75 0.8	nowi	1	70
1252	utoaztecan-PimaDeOnavas-54_arm-1	utoaztecan-PimaDeOnavas	ARM	arm	huca	huca	h u ts a	utoaztecan-54_arm-3	625	3 7 2 7	AXBZ	HYCA	26	26.H.C 26.Y.V 26.C.C 26.A.V	2.0 1.5 1.75 0.8	hutsa	0	57
1402	utoaztecan-NorthernTepehuan-54_arm-1	utoaztecan-NorthernTepehuan	ARM	arm	juca	juca	dʒ u ts a	utoaztecan-54_arm-3	625	1 7 2 7	AXBZ	TYCA	22	22.T.C 22.Y.V 22.C.C 22.A.V	2.0 1.5 1.75 0.8	dʒutsa	0	57
1552	utoaztecan-NorthernPaiute-54_arm-1	utoaztecan-NorthernPaiute	ARM	arm	pɨtta	pɨtta	p ɨ tː a	utoaztecan-54_arm-1	54	1 7 1 7	AXBZ	PITA	21	21.P.C 21.I.V 21.T.C 21.A.V	2.0 1.5 1.75 0.8	pɨtːa	0	52
1704	utoaztecan-Opata-54_arm-1	utoaztecan-Opata	ARM	arm	mötzâca	mötzâca	m ø t z a ts a	utoaztecan-54_arm-2	159	4 7 1 3 7 2 7	AXBCYBZ	MUTSACA	23	23.M.C 23.U.V 23.T.C 23.S.C 23.A.V 23.C.C 23.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	møtzatsa	0	68
1705	utoaztecan-Opata-54_arm-2	utoaztecan-Opata	ARM	arm	mama	mama	m a m a		730	4 7 4 7	AXBZ	MAMA	23	23.M.C 23.A.V 23.M.C 23.A.V	2.0 1.5 1.75 0.8	mama	1	55
1851	utoaztecan-Eudeve-54_arm-1	utoaztecan-Eudeve	ARM	arm	mamát	mamát	m a m a t	utoaztecan-54_arm-2	159	4 7 4 7 1	AXBYN	MAMAT	10	10.M.C 10.A.V 10.M.C 10.A.V 10.T.c	2.0 1.5 1.75 1.3 0.8	mamat	1	55
1852	utoaztecan-Eudeve-54_arm-2	utoaztecan-Eudeve	ARM	arm	nocát	nocát	n o ts a t	utoaztecan-54_arm-2	159	4 7 2 7 1	AXBYN	NUCAT	10	10.N.C 10.U.V 10.C.C 10.A.V 10.T.c	2.0 1.5 1.75 1.3 0.8	notsat	0	70
1991	utoaztecan-Guarijio-54_arm-1	utoaztecan-Guarijio	ARM	arm	seká	seká	s e k a	utoaztecan-54_arm-3	625	3 7 1 7	AXBZ	SEKA	12	12.S.C 12.E.V 12.K.C 12.A.V	2.0 1.5 1.75 0.8	seka	1	57
2118	utoaztecan-Tarahumara-54_arm-1	utoaztecan-Tarahumara	ARM	arm	seká	seká	s e k a	utoaztecan-54_arm-3	625	3 7 1 7	AXBZ	SEKA	34	34.S.C 34.E.V 34.K.C 34.A.V	2.0 1.5 1.75 0.8	seka	1	57
2263	utoaztecan-Tubar-54_arm-1	utoaztecan-Tubar	ARM	arm	mavooí-r	mavooí-r	m a v oːi + r	utoaztecan-54_arm-2	159	4 7 3 7 9 5	AXBZ_A	MABU_R	35	35.M.C 35.A.V 35.B.C 35.U.V 35._._ 35.R.C	2.0 1.5 1.75 0.8 0.0 2.0	mavoːi+r	0	80
2413	utoaztecan-Mayo-54_arm-1	utoaztecan-Mayo	ARM	arm	koómi	koómi	k o o m i	utoaztecan-54_arm-4	928	1 7 7 4 7	AXYBZ	KUUMI	19	19.K.C 19.U.V 19.U.V 19.M.C 19.I.V	2.0 1.5 1.3 1.75 0.8	koomi	0	64
2548	utoaztecan-Yaqui-54_arm-1	utoaztecan-Yaqui	ARM	arm	kónkabám	kónkabám	k o n k a b a m	utoaztecan-54_arm-4	928	1 7 4 1 7 1 7 4	AXMBYBYN	KUNKAPAM	37	37.K.C 37.U.V 37.N.c 37.K.C 37.A.V 37.P.C 37.A.V 37.M.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	konkabam	0	82
2689	utoaztecan-Cora-54_arm-1	utoaztecan-Cora	ARM	arm	mwáhkaʔa	mwáhkaʔa	m w a ʰk a ʔ a	utoaztecan-54_arm-2	159	4 6 7 1 7 1 7	ACXBYBZ	MWAKAHA	8	8.M.C 8.W.C 8.A.V 8.K.C 8.A.V 8.H.C 8.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	mwaʰkaʔa	1	54
